"","institution","state","plan","city","sector","groffer","hbcu","hospital","locale","c18ugprf","f1systyp","countynm","Size","Application","Enrollment","Endowment","Total_Expense","Total_Revenue","Total_Liabilities","Tuition","Total_Asset","Type","Gift","calsys","slo","dstnugc","dstngc","distcrs","disabpct","alloncam","room","roomcap","board","indistrictug","instateug","outstateug","indistrictg","instateg","outstateg","eftotlt_1","eftotlt_2","eftotlt_12","eftotlt_21","eftotlt_22","eftotlt_32","eftotlt_41","eftotlt_42","eftotlt_52","number_locations","internationals","efdeexc_1","efdeexc_2","efdeexc_3","efdeexc_12","efdesom_1","efdesom_2","efdesom_3","efdesom_12","rrptct","stufacr","eaptot_10000","eaptot_10050","eaptot_27000","eaptot_30000","eaptot_37000","eaptot_10010","eaptot_10020","eaptot_10030","eappt_10000","eappt_10050","eappt_27000","eappt_30000","eappt_37000","eappt_10010","eappt_10020","eappt_10030","state.cases","state.deaths","county.cases","county.deaths","sainstt_7","sa_9mct_7","satotlt_7","sa09mct_7","sa10mct_7","sa11mct_7","sa12mct_7","saoutlt_7","sa09mot_7","sa10mot_7","sa11mot_7","sa12mot_7","saeq9ot_7","saeq9at_7","sa09mat_7","sa10mat_7","sa11mat_7","sa12mat_7","sainstt_1","sa_9mct_1","satotlt_1","sa09mct_1","sa10mct_1","sa11mct_1","sa12mct_1","saoutlt_1","sa09mot_1","sa10mot_1","sa11mot_1","sa12mot_1","saeq9ot_1","saeq9at_1","sa09mat_1","sa10mat_1","sa11mat_1","sa12mat_1","sainstt_2","sa_9mct_2","satotlt_2","sa09mct_2","sa10mct_2","sa11mct_2","sa12mct_2","saoutlt_2","sa09mot_2","sa10mot_2","sa11mot_2","sa12mot_2","saeq9ot_2","saeq9at_2","sa09mat_2","sa10mat_2","sa11mat_2","sa12mat_2","sainstt_3","sa_9mct_3","satotlt_3","sa09mct_3","sa10mct_3","sa11mct_3","sa12mct_3","saoutlt_3","sa09mot_3","sa10mot_3","sa11mot_3","sa12mot_3","saeq9ot_3","saeq9at_3","sa09mat_3","sa10mat_3","sa11mat_3","sa12mat_3","sainstt_4","sa_9mct_4","satotlt_4","sa09mct_4","sa10mct_4","sa11mct_4","sa12mct_4","saoutlt_4","sa09mot_4","sa10mot_4","sa11mot_4","sa12mot_4","saeq9ot_4","saeq9at_4","sa09mat_4","sa10mat_4","sa11mat_4","sa12mat_4","sainstt_5","sa_9mct_5","satotlt_5","sa09mct_5","sa10mct_5","sa11mct_5","sa12mct_5","saoutlt_5","sa09mot_5","sa10mot_5","sa11mot_5","sa12mot_5","saeq9ot_5","saeq9at_5","sa09mat_5","sa10mat_5","sa11mat_5","sa12mat_5","sainstt_6","sa_9mct_6","satotlt_6","sa09mct_6","sa10mct_6","sa11mct_6","sa12mct_6","saoutlt_6","sa09mot_6","sa10mot_6","sa11mot_6","sa12mot_6","saeq9ot_6","saeq9at_6","sa09mat_6","sa10mat_6","sa11mat_6","sa12mat_6","sanin01","sanin02","sanin03","sanin04","sanin05","sanin06","sanin07","sanin08","sanin09","sanin10","sanin11","sanin12","sanin13","sanin14","sanit01","sanit02","sanit03","sanit04","sanit05","sanit06","sanit07","sanit08","sanit09","sanit10","sanit11","sanit12","sanit13","sanit14","text_length","Sent_Score","Sentiment"
"1","Abilene Christian University","TX","Planning for in-person","Abilene",1,0,1,1,1,11,1,"Taylor",2,11569,905,431945603,145485782,189713877,199108829,74934115,571283582,"Private non-profit",15570202,0,0,1,1,1,11,1,0,2013,1,34800,34800,34800,21492,21492,21492,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,5,1318,32,31,1286,506,460,460,46,32,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60768,1618,326,5,266,0,266,248,0,1,17,18979080,17750469,0,60591,1168020,18676047,70211,71574,NA,60591,68707,57,0,57,57,0,0,0,5132440,5132440,0,0,0,5132440,90043,90043,NA,NA,NA,83,0,83,79,0,0,4,6065352,5795107,0,0,270245,5997791,72263,73356,NA,NA,67561,58,0,58,56,0,0,2,3771489,3632489,0,0,139000,3736739,64427,64866,NA,NA,69500,46,0,46,43,0,1,2,2554087,2371795,0,60591,121701,2512634,54622,55158,NA,60591,60851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,22,13,0,0,9,1455712,818638,0,0,637074,1296444,58929,62972,NA,NA,70786,519,1,9,23,83,34,24,83,2,43,0,202,15,0,28464323,50000,577496,1092254,8263563,2452062,1353156,4436987,87352,1711294,0,7902057,538102,0,2617,0.9687,"Positive"
"2","Adelphi University","NY","Proposing a hybrid model","Garden City",1,0,1,1,3,14,1,"Nassau",2,13006,1237,188578577,216640048,232778612,185448257,185582797,318495652,"Private non-profit",4118261,0,1,1,1,1,5,1,0,1300,1,37000,37000,37000,40750,40750,40750,8146,5391,2755,6562,5056,1506,1584,335,1249,33,32,268,39,37,229,1314,911,911,403,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371559,29438,40140,2608,340,0,340,340,0,0,0,37853767,37853767,0,0,0,37853767,111335,111335,NA,NA,NA,89,0,89,89,0,0,0,12792853,12792853,0,0,0,12792853,143740,143740,NA,NA,NA,124,0,124,124,0,0,0,13578196,13578196,0,0,0,13578196,109502,109502,NA,NA,NA,66,0,66,66,0,0,0,6009844,6009844,0,0,0,6009844,91058,91058,NA,NA,NA,12,0,12,12,0,0,0,885541,885541,0,0,0,885541,73795,73795,NA,NA,NA,17,0,17,17,0,0,0,1284022,1284022,0,0,0,1284022,75531,75531,NA,NA,NA,32,0,32,32,0,0,0,3303311,3303311,0,0,0,3303311,103228,103228,NA,NA,NA,786,0,0,84,151,49,52,109,12,96,2,192,34,5,55085399,0,0,5509266,19247391,3138357,3533535,6564591,802964,4787872,136949,8551672,2578833,233969,4191,0.996,"Positive"
"3","Adrian College","MI","Planning for in-person","Adrian",1,0,1,1,7,9,1,"Lenawee",1,5132,634,36705997,48242633,48789735,57631617,22914521,93468490,"Private non-profit",2437362,0,0,0,1,1,9,1,0,1644,0,36112,36112,36112,17825,17825,17825,1856,1817,39,1781,1751,30,75,66,9,27,15,5,NA,NA,5,15,NA,NA,15,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55944,5372,150,4,97,0,97,97,0,0,0,7068589,7068589,0,0,0,7068589,72872,72872,NA,NA,NA,29,0,29,29,0,0,0,2530102,2530102,0,0,0,2530102,87245,87245,NA,NA,NA,30,0,30,30,0,0,0,2161008,2161008,0,0,0,2161008,72034,72034,NA,NA,NA,36,0,36,36,0,0,0,2272328,2272328,0,0,0,2272328,63120,63120,NA,NA,NA,2,0,2,2,0,0,0,105151,105151,0,0,0,105151,52576,52576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232,0,0,12,24,13,9,85,1,46,8,34,0,0,9672389,0,0,504221,2212767,523781,409683,2768954,51326,1811555,275487,1114615,0,0,3104,0.975,"Positive"
"4","Agnes Scott College","GA","Planning for in-person","Decatur",1,0,1,1,3,11,1,"DeKalb",1,1625,324,229425820,56036998,51555678,80653988,12630005,285958713,"Private non-profit",8074413,0,0,1,0,1,14,1,0,916,0,40920,40920,40920,16200,16200,16200,1030,996,34,998,985,13,32,11,21,31,13,0,0,0,NA,0,0,0,NA,0,10,429,182,61,29,28,151,61,19,108,39,7,1,2,53,0,0,43363,1942,3635,112,88,0,88,88,0,0,0,7272918,7272918,0,0,0,7272918,82647,82647,NA,NA,NA,40,0,40,40,0,0,0,3926201,3926201,0,0,0,3926201,98155,98155,NA,NA,NA,22,0,22,22,0,0,0,1729384,1729384,0,0,0,1729384,78608,78608,NA,NA,NA,23,0,23,23,0,0,0,1457333,1457333,0,0,0,1457333,63362,63362,NA,NA,NA,3,0,3,3,0,0,0,160000,160000,0,0,0,160000,53333,53333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,0,0,60,28,26,21,16,2,44,0,26,10,0,13232163,0,0,3225524,3093061,1591771,1155573,818113,149082,1580219,0,1180742,438078,0,1655,-0.9723,"Negative"
"5","Albany College of Pharmacy and Health Sciences","NY","Planning for in-person","Albany",1,0,1,1,2,14,1,"Albany",1,1985,191,51444313,47349161,52209505,36630996,37501737,98753129,"Private non-profit",2292380,0,0,1,1,1,NA,1,0,750,1,34480,34480,34480,23940,23940,23940,1331,859,472,1319,854,465,12,5,7,19,10,0,0,0,0,107,105,105,2,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371559,29438,1814,142,88,0,88,60,0,0,28,8183607,5086921,0,0,3096686,7409436,84198,84782,NA,NA,110596,8,0,8,4,0,0,4,1029287,497805,0,0,531482,896417,112052,124451,NA,NA,132871,34,0,34,25,0,0,9,3457408,2390799,0,0,1066609,3190756,93846,95632,NA,NA,118512,30,0,30,17,0,0,13,2702921,1373310,0,0,1329611,2370518,79017,80783,NA,NA,102278,16,0,16,14,0,0,2,993991,825007,0,0,168984,951745,59484,58929,NA,NA,84492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,19,3,17,39,12,10,18,8,8,0,19,0,0,10590593,799720,289324,861407,4812231,798356,535167,899321,445688,338535,0,810844,0,0,1857,0.98,"Positive"
"6","Albion College","MI","Planning for in-person","Albion",1,1,1,1,6,11,1,"Calhoun",1,4226,428,174309623,62083494,60163373,73156216,20519906,217548974,"Private non-profit",8418563,0,0,1,NA,1,10,1,0,1729,0,45070,45070,45070,NA,NA,NA,1533,1533,NA,1509,1509,NA,24,24,NA,20,4,0,0,0,NA,0,0,0,NA,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55944,5372,357,22,120,0,120,120,0,0,0,8156674,8156674,0,0,0,8156674,67972,67972,NA,NA,NA,60,0,60,60,0,0,0,4674099,4674099,0,0,0,4674099,77902,77902,NA,NA,NA,22,0,22,22,0,0,0,1439489,1439489,0,0,0,1439489,65431,65431,NA,NA,NA,32,0,32,32,0,0,0,1760832,1760832,0,0,0,1760832,55026,55026,NA,NA,NA,3,0,3,3,0,0,0,133655,133655,0,0,0,133655,44552,44552,NA,NA,NA,3,0,3,3,0,0,0,148599,148599,0,0,0,148599,49533,49533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,0,0,27,54,26,20,63,5,25,0,48,15,3,14517227,0,0,1358819,4820460,1409680,987099,2577437,206798,872050,0,1493393,687357,104134,3133,0.9977,"Positive"
"7","Alma College","MI","Considering a range of scenarios","Alma",1,1,1,1,7,11,1,"Gratiot",1,4765,404,124001841,50697784,54016129,67576899,21136733,169668380,"Private non-profit",7061866,3,0,0,NA,0,11,1,0,1333,0,39998,39998,39998,NA,NA,NA,1433,1433,NA,1397,1397,NA,36,36,NA,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55944,5372,74,8,99,0,99,99,0,0,0,6682137,6682137,0,0,0,6682137,67496,67496,NA,NA,NA,31,0,31,31,0,0,0,2525564,2525564,0,0,0,2525564,81470,81470,NA,NA,NA,22,0,22,22,0,0,0,1516273,1516273,0,0,0,1516273,68922,68922,NA,NA,NA,28,0,28,28,0,0,0,1701317,1701317,0,0,0,1701317,60761,60761,NA,NA,NA,18,0,18,18,0,0,0,938983,938983,0,0,0,938983,52166,52166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,0,0,29,26,8,12,45,0,48,20,27,0,0,10391139,0,0,978393,2613639,277555,669463,2152073,0,1554489,1186458,959069,0,0,2058,0.975,"Positive"
"8","American University","DC","Waiting to decide","Washington",1,0,1,1,0,13,1,"District of Columbia",3,18984,1752,676430000,585455000,674183000,718819000,401428000,1281986000,"Private non-profit",56360000,0,1,1,1,1,9,1,0,4682,1,47640,47640,47640,30744,30744,30744,14311,8287,6024,11435,7952,3483,2876,335,2541,53,54,478,2,2,476,549,309,309,240,3,12,3528,1284,45,419,410,1605,398,102,927,43,0,1,176,700,0,0,8492,453,8492,453,822,0,822,822,0,0,0,89108436,89108436,0,0,0,89108436,108404,108404,NA,NA,NA,187,0,187,187,0,0,0,32255825,32255825,0,0,0,32255825,172491,172491,NA,NA,NA,177,0,177,177,0,0,0,19508000,19508000,0,0,0,19508000,110215,110215,NA,NA,NA,155,0,155,155,0,0,0,14182075,14182075,0,0,0,14182075,91497,91497,NA,NA,NA,303,0,303,303,0,0,0,23162536,23162536,0,0,0,23162536,76444,76444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1779,36,0,105,418,264,187,301,13,107,0,234,68,46,138536067,2007190,0,7048440,48057993,18070352,15502076,21614367,1172982,5775184,0,11682056,4870573,2734854,2798,0.9972,"Positive"
"9","Amherst College","MA","Waiting to decide","Amherst",1,1,1,1,3,13,1,"Hampshire",1,9723,492,2377537246,203407526,427083632,630931729,53511781,2923973186,"Private non-profit",101226359,0,0,0,NA,0,26,1,0,1837,0,55520,55520,55520,NA,NA,NA,1855,1855,NA,1855,1855,NA,NA,NA,NA,47,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94895,6640,845,83,250,1,249,249,0,0,0,29077384,29077384,0,0,0,29077384,116777,116777,NA,NA,NA,101,0,101,101,0,0,0,15819300,15819300,0,0,0,15819300,156627,156627,NA,NA,NA,33,0,33,33,0,0,0,3527906,3527906,0,0,0,3527906,106906,106906,NA,NA,NA,85,0,85,85,0,0,0,7179978,7179978,0,0,0,7179978,84470,84470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,30,30,0,0,0,2550200,2550200,0,0,0,2550200,85007,85007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701,0,0,46,93,67,70,81,12,162,0,129,36,5,50604765,0,0,2985421,13448615,5384777,5304460,6576796,866597,7047966,0,6515778,2171115,303240,7459,0.974,"Positive"
"10","Angelo State University","TX","Planning for in-person","San Angelo",0,0,1,1,1,10,0,"Tom Green",3,4200,1517,189276736,146265252,164840486,53894105,49110879,283070766,"Public",NA,0,0,1,1,1,NA,1,0,2213,1,4205,4205,4205,3964,3964,11434,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,18,1558,258,256,1300,2466,2362,2356,104,12,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60768,1618,67,1,306,0,306,277,0,19,10,20590387,18496234,0,1273512,820641,20153448,65861,66773,NA,67027,82064,80,0,80,74,0,2,4,6704101,6112741,0,193602,397758,6569426,82118,82605,NA,96801,99440,55,0,55,54,0,0,1,3970321,3890064,0,0,80257,3950257,71823,72038,NA,NA,80257,71,0,71,63,0,6,2,4631177,4048079,0,432145,150953,4514788,63589,64255,NA,72024,75477,75,0,75,62,0,11,2,3620006,2867848,0,647765,104393,3476015,46347,46256,NA,58888,52197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,25,24,0,0,1,1664782,1577502,0,0,87280,1642962,65718,65729,NA,NA,87280,496,0,0,60,51,42,47,87,0,33,11,117,42,6,23868782,0,0,2583562,4936433,1963653,3122531,4132500,0,1260152,393857,3559479,1720356,196259,2882,0.7214,"Positive"
